title,year,runtime_min,genre,imdb_rating,director,votes,Gross,title_norm,year_norm,review_count,avg_review_rating,avg_review_len,fear_review_ratio,avg_fear_count,avg_fear_density,pos_ratio,neu_ratio,neg_ratio,runtime,log_votes
The Call,2020,112,"Crime, Horror, Mystery",7.1,Chung-Hyun Lee,37886,,the call,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.54236332431428
Don't Look Now,1973,110,"Drama, Horror, Mystery",7.1,Nicolas Roeg,58877,$0.98M,don't look now,1973.0,4.0,7.75,1348.5,0.75,3.0,0.012096188747731397,0.75,0.25,0.0,0,10.983222785434549
Let Me In I,2010,116,"Drama, Fantasy, Horror",7.1,Matt Reeves,124539,$12.13M,let me in i,2010.0,2.0,6.0,2678.0,0.5,8.0,0.00847457627118644,0.0,0.5,0.0,0,11.732382228426443
Cube,1997,90,"Drama, Horror, Mystery",7.1,Vincenzo Natali,239015,$0.50M,cube,1997.0,2.0,6.0,1890.0,1.0,6.0,0.01988650382432766,0.0,0.5,0.0,0,12.384285774279585
The Frighteners,1996,110,"Comedy, Fantasy, Horror",7.1,Peter Jackson,91980,$16.76M,the frighteners,1996.0,2.0,6.5,1318.5,1.0,9.0,0.02690721649484536,0.5,0.5,0.0,0,11.429337312963495
Audition,1999,115,"Drama, Horror, Mystery",7.1,Takashi Miike,84967,,audition,1999.0,1.0,7.0,998.0,1.0,1.0,0.0058823529411764705,1.0,0.0,0.0,0,11.350029994001375
In the Mouth of Madness,1994,95,"Drama, Fantasy, Horror",7.1,John Carpenter,74185,$8.95M,in the mouth of madness,1994.0,1.0,7.0,348.0,1.0,1.0,0.016129032258064516,1.0,0.0,0.0,0,11.21433073210802
The Host,2006,120,"Drama, Horror, Sci-Fi",7.1,Bong Joon Ho,127160,$2.20M,the host,2006.0,2.0,7.0,695.5,1.0,3.5,0.036702972543680504,0.5,0.5,0.0,0,11.753209279102027
The Thing from Another World,1951,87,"Horror, Sci-Fi",7.1,Christian Nyby,31634,,the thing from another world,1951.0,2.0,7.5,2148.0,1.0,4.5,0.012169890788715327,0.5,0.5,0.0,0,10.362019381580984
Day of the Dead,1985,101,"Horror, Thriller",7.1,George A. Romero,71624,$5.80M,day of the dead,1985.0,1.0,7.0,1564.0,1.0,3.0,0.01079136690647482,1.0,0.0,0.0,0,11.179199454017041
Timecrimes,2007,92,"Horror, Mystery, Sci-Fi",7.1,Nacho Vigalondo,66167,$0.04M,timecrimes,2007.0,5.0,7.25,1089.0,0.4,0.6,0.0023536741545810112,0.6,0.2,0.0,0,11.099952241371742
Black Christmas,1974,98,"Horror, Mystery, Thriller",7.1,Bob Clark,44485,$4.05M,black christmas,1974.0,5.0,6.6,1408.2,1.0,4.0,0.016283941243794314,0.6,0.4,0.0,0,10.702929811913675
A Tale of Two Sisters,2003,114,"Drama, Horror, Mystery",7.1,Jee-woon Kim,65125,,a tale of two sisters,2003.0,1.0,8.0,555.0,1.0,6.0,0.07142857142857142,1.0,0.0,0.0,0,11.084079134024153
Thirst,2009,134,"Drama, Fantasy, Horror",7.1,Park Chan-wook,49291,$0.30M,thirst,2009.0,1.0,6.0,75.0,1.0,1.0,0.09090909090909091,0.0,1.0,0.0,0,10.805517075058013
The Fearless Vampire Killers,1967,91,"Comedy, Horror",7.1,Roman Polanski,32778,,the fearless vampire killers,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.397543345426145
Pearl,2022,103,"Drama, Horror, Thriller",7.0,Ti West,60574,,pearl,2022.0,7.0,6.142857142857143,1375.2857142857142,0.7142857142857143,3.4285714285714284,0.013235225789192732,0.7142857142857143,0.14285714285714285,0.14285714285714285,0,11.011637545684726
Barbarian,2022,102,"Horror, Mystery, Thriller",7.0,Zach Cregger,150220,,barbarian,2022.0,8.0,7.25,901.375,0.875,3.625,0.023610884230588658,0.625,0.25,0.125,0,11.919862822121054
Orphan,2009,123,"Horror, Mystery, Thriller",7.0,Jaume Collet-Serra,240096,$41.60M,orphan,2009.0,3.0,8.0,531.6666666666666,0.3333333333333333,1.0,0.004694835680751174,0.6666666666666666,0.3333333333333333,0.0,0,12.388798287337448
Last Night in Soho,2021,116,"Drama, Horror, Mystery",7.0,Edgar Wright,151594,,last night in soho,2021.0,8.0,7.0,1173.75,0.625,2.125,0.013780998753800011,0.75,0.125,0.125,0,11.928967770116163
The Platform,2019,94,"Horror, Sci-Fi, Thriller",7.0,Galder Gaztelu-Urrutia,246812,,the platform,2019.0,9.0,7.0,1451.7777777777778,0.6666666666666666,2.7777777777777777,0.02282995398050335,0.6666666666666666,0.1111111111111111,0.1111111111111111,0,12.416386243856277
Cloverfield,2008,85,"Action, Adventure, Horror",7.0,Matt Reeves,409328,$80.05M,cloverfield,2008.0,1.0,6.0,1405.0,1.0,2.0,0.008097165991902834,0.0,1.0,0.0,0,12.922274512645862
The Cabin in the Woods,2011,95,"Horror, Mystery, Thriller",7.0,Drew Goddard,431746,$42.07M,the cabin in the woods,2011.0,4.0,7.333333333333333,1852.25,0.75,7.25,0.01637484909142671,0.5,0.25,0.0,0,12.975595047519237
Martyrs,2008,99,Horror,7.0,Pascal Laugier,100077,,martyrs,2008.0,4.0,7.25,654.25,1.0,3.0,0.03587566810566348,0.5,0.5,0.0,0,11.51370516092832
The Killing of a Sacred Deer,2017,121,"Drama, Horror, Mystery",7.0,Yorgos Lanthimos,164977,$2.29M,the killing of a sacred deer,2017.0,7.0,6.0,1379.142857142857,0.8571428571428571,1.8571428571428572,0.008799799668773863,0.42857142857142855,0.2857142857142857,0.2857142857142857,0,12.013567410659705
World War Z,2013,116,"Action, Adventure, Horror",7.0,Marc Forster,688746,$202.36M,world war z,2013.0,5.0,7.2,1407.6,1.0,8.8,0.03884900042405327,0.8,0.0,0.2,0,13.442629283722896
Constantine,2005,121,"Action, Fantasy, Horror",7.0,Francis Lawrence,359071,$75.98M,constantine,2005.0,5.0,6.75,674.2,0.8,2.6,0.01997315251931404,0.4,0.4,0.0,0,12.791278204464593
Pitch Black,2000,109,"Action, Horror, Sci-Fi",7.0,David Twohy,247313,$39.24M,pitch black,2000.0,6.0,7.833333333333333,1207.1666666666667,0.5,3.3333333333333335,0.007094764098258565,0.8333333333333334,0.16666666666666666,0.0,0,12.418414063310296
Hotel Transylvania,2012,91,"Animation, Adventure, Comedy",7.0,Genndy Tartakovsky,266508,$148.31M,hotel transylvania,2012.0,4.0,6.25,231.25,0.0,0.0,0.0,0.5,0.25,0.25,0,12.493163293124747
