title,year,runtime_min,genre,imdb_rating,director,votes,Gross
Event Horizon,1997,96,"Horror, Sci-Fi, Thriller",6.6,Paul W.S. Anderson,188518,$26.67M
Speak No Evil,2022,97,"Drama, Horror, Thriller",6.6,Christian Tafdrup,27616,
Life I,2017,104,"Horror, Sci-Fi, Thriller",6.6,Daniel Espinosa,240377,$30.23M
Resident Evil,2002,100,"Action, Horror, Sci-Fi",6.6,Paul W.S. Anderson,279094,$40.12M
You're Next,2011,95,"Horror, Thriller",6.6,Adam Wingard,104174,$18.47M
The Faculty,1998,104,"Horror, Mystery, Sci-Fi",6.6,Robert Rodriguez,128887,$40.06M
Glass,2019,129,"Drama, Horror, Sci-Fi",6.6,M. Night Shyamalan,254065,$111.05M
Drag Me to Hell,2009,99,Horror,6.6,Sam Raimi,210357,$42.10M
30 Days of Night,2007,113,"Action, Adventure, Horror",6.6,David Slade,182693,$39.57M
What Lies Beneath,2000,130,"Drama, Horror, Mystery",6.6,Robert Zemeckis,130856,$155.46M
Death Becomes Her,1992,104,"Comedy, Fantasy, Horror",6.6,Robert Zemeckis,124437,$58.42M
Child's Play,1988,87,"Horror, Thriller",6.6,Tom Holland,108877,$33.24M
The Invitation I,2015,100,"Drama, Horror, Mystery",6.6,Karyn Kusama,114221,$0.23M
Happy Death Day,2017,96,"Comedy, Horror, Mystery",6.6,Christopher Landon,151732,$55.68M
Overlord,2018,110,"Action, Horror, Sci-Fi",6.6,Julius Avery,102874,$21.70M
Hush I,2016,82,"Horror, Thriller",6.6,Mike Flanagan,144505,
Prince of Darkness,1987,102,Horror,6.6,John Carpenter,47009,$14.18M
Saw II,2005,93,"Horror, Mystery",6.6,Darren Lynn Bousman,260764,$87.04M
From Beyond,1986,85,"Horror, Sci-Fi",6.6,Stuart Gordon,28213,$1.26M
A Nightmare on Elm Street 3: Dream Warriors,1987,96,"Fantasy, Horror",6.6,Chuck Russell,85536,$44.79M
Hotel Transylvania 2,2015,89,"Animation, Adventure, Comedy",6.6,Genndy Tartakovsky,134482,$169.70M
The Hunger,1983,97,"Drama, Horror",6.6,Tony Scott,27761,$5.98M
The Blob,1988,95,"Horror, Sci-Fi, Thriller",6.6,Chuck Russell,40349,$8.25M
The Loved Ones,2009,84,"Crime, Horror",6.6,Sean Byrne,42492,
Psycho II,1983,113,"Crime, Horror, Mystery",6.6,Richard Franklin,28989,$34.73M
May,2002,93,"Comedy, Drama, Horror",6.6,Lucky McKee,38779,$0.15M
Phantasm,1979,89,"Horror, Sci-Fi",6.6,Don Coscarelli,39050,$11.99M
Rare Exports,2010,84,"Adventure, Fantasy, Horror",6.6,Jalmari Helander,30491,$0.26M
The Girl with All the Gifts,2016,111,"Action, Adventure, Drama",6.6,Colm McCarthy,62316,
Fear Street: Part Three - 1666,2021,114,"Horror, Mystery",6.6,Leigh Janiak,57741,
Demons,1985,88,Horror,6.6,Lamberto Bava,25101,
The Eye,2002,99,"Fantasy, Horror, Mystery",6.6,Danny Pang,29645,$0.51M
Smile V,2022,115,"Horror, Mystery, Thriller",6.5,Parker Finn,130696,
Evil Dead,2013,91,Horror,6.5,Fede Alvarez,187737,$54.24M
It Chapter Two,2019,169,"Drama, Fantasy, Horror",6.5,Andy Muschietti,281137,$211.59M
Gerald's Game,2017,103,"Drama, Horror, Thriller",6.5,Mike Flanagan,117039,
The Hunt II,2020,90,"Action, Horror, Thriller",6.5,Craig Zobel,120400,$5.81M
Silent Hill,2006,125,"Horror, Mystery",6.5,Christophe Gans,236727,$46.98M
Antichrist,2009,108,"Drama, Horror, Thriller",6.5,Lars von Trier,131305,$0.40M
Insidious: Chapter 2,2013,106,"Horror, Mystery, Thriller",6.5,James Wan,177423,$83.59M
The Last House on the Left,2009,110,"Horror, Thriller",6.5,Dennis Iliadis,96680,$32.75M
The Night House,2020,107,"Horror, Mystery, Thriller",6.5,David Bruckner,60235,
Host II,2020,57,"Horror, Mystery",6.5,Rob Savage,34122,
Mandy I,2018,121,"Action, Fantasy, Horror",6.5,Panos Cosmatos,83932,$1.21M
The Girl Next Door,2007,91,"Crime, Drama, Horror",6.5,Gregory Wilson,27817,
Titane,2021,108,"Drama, Horror, Sci-Fi",6.5,Julia Ducournau,50494,
